Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;
A Survey of Formal Verification for Business Process Modeling;Computational Science – ICCS 2008;;;;10.1007/978-3-540-69387-1_58;Shoichi Morimoto;2008;http://link.springer.com/chapter/10.1007/978-3-540-69387-1_58;Chapter;;;
Scientific Workflow: A Survey and Research Directions;Parallel Processing and Applied Mathematics;;;;10.1007/978-3-540-68111-3_78;Adam BarkerJano van Hemert;2008;http://link.springer.com/chapter/10.1007/978-3-540-68111-3_78;Chapter;;;
A survey on run-time supporting platforms for cyber physical systems;Frontiers of Information Technology & Electronic Engineering;;18;10;10.1631/FITEE.1601579;Yuan SunGang YangXing-she Zhou;2017;http://link.springer.com/article/10.1631/FITEE.1601579;Article;;;
Semantic Web Service Search: A Brief Survey;KI - Künstliche Intelligenz;;30;2;10.1007/s13218-015-0415-7;Matthias KluschPatrick KapahnkeStefan SchulteFreddy LecueAbraham Bernstein;2016;http://link.springer.com/article/10.1007/s13218-015-0415-7;Article;;;
From Access Control Models to Access Control Metamodels: A Survey;Advances in Information and Communication;;;;10.1007/978-3-030-12385-7_61;Nadine KashmarMehdi AddaMirna Atieh;2020;http://link.springer.com/chapter/10.1007/978-3-030-12385-7_61;Chapter;;;
Cloud adoption for e-learning: Survey and future challenges;Education and Information Technologies;;25;2;10.1007/s10639-019-10021-5;Minhaj Ahmad KhanKhaled Salah;2020;http://link.springer.com/article/10.1007/s10639-019-10021-5;Article;;;
A Survey of Web Services Security;Computational Science and Its Applications – ICCSA 2004;;;;10.1007/978-3-540-24707-4_109;Carlos GutiérrezEduardo Fernández-MedinaMario Piattini;2004;http://link.springer.com/chapter/10.1007/978-3-540-24707-4_109;Chapter;;;
Next Generation Mobile Core Resource Orchestration: Comprehensive Survey; Challenges and Perspectives;Wireless Personal Communications;;120;2;10.1007/s11277-021-08517-w;Ibrahim Al-SurmiBasheer RaddwanIbrahim Al-Baltah;2021;http://link.springer.com/article/10.1007/s11277-021-08517-w;Article;;
A Survey on Graph Processing Accelerators: Challenges and Opportunities;Journal of Computer Science and Technology;;34;2;10.1007/s11390-019-1914-z;Chuang-Yi GuiLong ZhengBingsheng HeCheng LiuXin-Yu ChenXiao-Fei LiaoHai Jin;2019;http://link.springer.com/article/10.1007/s11390-019-1914-z;Article;;;
A survey on IoT fog nano datacenters;Wireless Networks;;28;1;10.1007/s11276-021-02829-2;Amirhossein FarahzadiPooyan Shams FarahsaryJavad Rezazadeh;2022;http://link.springer.com/article/10.1007/s11276-021-02829-2;Article;;;
Survey of IoT Reference Architectures and Models and IoT Initiatives;Proceedings of the Future Technologies Conference (FTC) 2021, Volume 1;;;;10.1007/978-3-030-89906-6_21;Meryem BenotmaneKaoutar ElhariAdil Kabbaj;2022;http://link.springer.com/chapter/10.1007/978-3-030-89906-6_21;Chapter;;;
A survey of model-driven techniques and tools for cyber-physical systems;Frontiers of Information Technology & Electronic Engineering;;21;11;10.1631/FITEE.2000311;Bo LiuYuan-rui ZhangXue-lian CaoYu LiuBin GuTie-xin Wang;2020;http://link.springer.com/article/10.1631/FITEE.2000311;Article;;;
Cloud Services Discovery and Selection: Survey and New Semantic-Based System;Bio-inspiring Cyber Security and Cloud Services: Trends and Innovations;;;;10.1007/978-3-662-43616-5_17;Yasmine M. AfifyIbrahim F. MoawadNagwa L. BadrM. F. Tolba;2014;http://link.springer.com/chapter/10.1007/978-3-662-43616-5_17;Chapter;;;
Specification of cloud topologies and orchestration using TOSCA: a survey;Computing;;102;8;10.1007/s00607-019-00750-3;Julian BellendorfZoltán Ádám Mann;2020;http://link.springer.com/article/10.1007/s00607-019-00750-3;Article;;;
A survey of challenges for runtime verification from advanced application domains (beyond software);Formal Methods in System Design;;54;3;10.1007/s10703-019-00337-w;César SánchezGerardo SchneiderWolfgang AhrendtEzio BartocciDomenico BianculliChristian ColomboYliès FalconeAdrian FrancalanzaSrđan KrstićJoa̋o M. LourençoDejan NickovicGordon J. PaceJose RufinoJulien SignolesDmitriy TraytelAlexander Weiss;2019;http://link.springer.com/article/10.1007/s10703-019-00337-w;Article;;;
Software Defined Wireless Networks: A Survey of Issues and Solutions;Wireless Personal Communications;;97;4;10.1007/s11277-017-4825-8;Anil Kumar RangisettiBheemarjuna Reddy Tamma;2017;http://link.springer.com/article/10.1007/s11277-017-4825-8;Article;;;
A survey of malware behavior description and analysis;Frontiers of Information Technology & Electronic Engineering;;19;5;10.1631/FITEE.1601745;Bo YuYing FangQiang YangYong TangLiu Liu;2018;http://link.springer.com/article/10.1631/FITEE.1601745;Article;;;
Resource Discovery Mechanisms in Shared Computing Infrastructure: A Survey;Emerging Trends in Intelligent Computing and Informatics;;;;10.1007/978-3-030-33582-3_51;Mowafaq Salem AlzboonM. MahmuddinSuki Arif;2020;http://link.springer.com/chapter/10.1007/978-3-030-33582-3_51;Chapter;;;
A Survey on Testing for Cyber Physical System;Testing Software and Systems;;;;10.1007/978-3-319-25945-1_12;Sara Abbaspour AsadollahRafia InamHans Hansson;2015;http://link.springer.com/chapter/10.1007/978-3-319-25945-1_12;Chapter;;;
A survey on search-based model-driven engineering;Automated Software Engineering;;24;2;10.1007/s10515-017-0215-4;Ilhem BoussaïdPatrick SiarryMohamed Ahmed-Nacer;2017;http://link.springer.com/article/10.1007/s10515-017-0215-4;Article;;;
A survey on data storage and placement methodologies for Cloud-Big Data ecosystem;Journal of Big Data;;6;1;10.1186/s40537-019-0178-3;Somnath MazumdarDaniel SeyboldKyriakos KritikosYiannis Verginadis;2019;http://link.springer.com/article/10.1186/s40537-019-0178-3;Article;;;
Ontologies for Manufacturing Process Modeling: A Survey;Sustainable Design and Manufacturing 2018;;;;10.1007/978-3-030-04290-5_7;Qiushi CaoCecilia Zanni-MerkChristoph Reich;2019;http://link.springer.com/chapter/10.1007/978-3-030-04290-5_7;Chapter;;;
A survey on smart power grid: frameworks; tools; security issues; and solutions;Annals of Telecommunications;;72;09. Okt;10.1007/s12243-017-0605-4;B. B. GuptaTafseer Akhtar;2017;http://link.springer.com/article/10.1007/s12243-017-0605-4;Article
Evolution of FOAF and SIOC in Semantic Web: A Survey;Big Data Analytics;;;;10.1007/978-981-10-6620-7_25;Gagandeep Singh NarulaUsha YadavNeelam DuhanVishal Jain;2018;http://link.springer.com/chapter/10.1007/978-981-10-6620-7_25;Chapter;;;
A survey of approaches for verifying model transformations;Software & Systems Modeling;;14;2;10.1007/s10270-013-0358-0;Lukman Ab. RahimJon Whittle;2015;http://link.springer.com/article/10.1007/s10270-013-0358-0;Article;;;
