Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;
A Survey of Service Placement in Cloud Environments;Journal of Grid Computing;;19;3;10.1007/s10723-021-09565-z;Ameni HedhliHaithem Mezni;2021;http://link.springer.com/article/10.1007/s10723-021-09565-z;Article;;;
A survey of challenges for runtime verification from advanced application domains (beyond software);Formal Methods in System Design;;54;3;10.1007/s10703-019-00337-w;César SánchezGerardo SchneiderWolfgang AhrendtEzio BartocciDomenico BianculliChristian ColomboYliès FalconeAdrian FrancalanzaSrđan KrstićJoa̋o M. LourençoDejan NickovicGordon J. PaceJose RufinoJulien SignolesDmitriy TraytelAlexander Weiss;2019;http://link.springer.com/article/10.1007/s10703-019-00337-w;Article;;;
Literature Survey;Fully Homomorphic Encryption in Real World Applications;;;;10.1007/978-981-13-6393-1_2;Ayantika ChatterjeeKhin Mi Mi Aung;2019;http://link.springer.com/chapter/10.1007/978-981-13-6393-1_2;Chapter;;;
A survey on pervasive computing over context-aware system;CCF Transactions on Pervasive Computing and Interaction;;2;2;10.1007/s42486-020-00030-6;S. G. GollagiM. M. MathA. A. Daptardar;2020;http://link.springer.com/article/10.1007/s42486-020-00030-6;Article;;;
A survey of approaches for verifying model transformations;Software & Systems Modeling;;14;2;10.1007/s10270-013-0358-0;Lukman Ab. RahimJon Whittle;2015;http://link.springer.com/article/10.1007/s10270-013-0358-0;Article;;;
A survey of application research based on blockchain smart contract;Wireless Networks;;;;10.1007/s11276-021-02874-x;Shi-Yi LinLei ZhangJing LiLi-li JiYue Sun;2022;http://link.springer.com/article/10.1007/s11276-021-02874-x;Article;;;
Large-scale graph processing systems: a survey;Frontiers of Information Technology & Electronic Engineering;;21;3;10.1631/FITEE.1900127;Ning LiuDong-sheng LiYi-ming ZhangXiong-lve Li;2020;http://link.springer.com/article/10.1631/FITEE.1900127;Article;;;
Trends of Publications and Work Done in Different Areas in IoT: A Survey;Recent Findings in Intelligent Computing Techniques;;;;10.1007/978-981-10-8639-7_40;NagmaJagpreet SidhuJaiteg Singh;2019;http://link.springer.com/chapter/10.1007/978-981-10-8639-7_40;Chapter;;;
A survey of open source tools for machine learning with big data in the Hadoop ecosystem;Journal of Big Data;;2;1;10.1186/s40537-015-0032-1;Sara LandsetTaghi M. KhoshgoftaarAaron N. RichterTawfiq Hasanin;2015;http://link.springer.com/article/10.1186/s40537-015-0032-1;Article;;;
A survey on smart power grid: frameworks; tools; security issues; and solutions;Annals of Telecommunications;;72;09. Okt;10.1007/s12243-017-0605-4;B. B. GuptaTafseer Akhtar;2017;http://link.springer.com/article/10.1007/s12243-017-0605-4;Article
Survey and design of paleozoic: a high-performance compiler tool chain for deep learning inference accelerator;CCF Transactions on High Performance Computing;;2;4;10.1007/s42514-020-00044-7;Zihan LiuJingwen LengGuandong LuChenhui WangQuan ChenMinyi Guo;2020;http://link.springer.com/article/10.1007/s42514-020-00044-7;Article;;;
Requirements-Driven Social Adaptation: Expert Survey;Requirements Engineering: Foundation for Software Quality;;;;10.1007/978-3-319-05843-6_6;Malik AlmalikiFunmilade FaniyiRami BahsoonKeith PhalpRaian Ali;2014;http://link.springer.com/chapter/10.1007/978-3-319-05843-6_6;Chapter;;;
